dataset,total,tp,tn,fp,fn,acc,precision,recall,f1,fpr,time_s,s_per_sample,seed_size,memory_atk_mb,memory_total_mb
autodan,820,0,0,0,820,0.0,0,0.0,0,0,69.5,0.08,30,0.4688,1.1719
zulu,820,142,0,0,678,0.1732,1.0,0.1732,0.2952,0,39.8,0.05,30,0.4688,1.1719
base64,820,0,0,0,820,0.0,0,0.0,0,0,25.0,0.03,30,0.4688,1.1719
drattack,820,0,0,0,820,0.0,0,0.0,0,0,84.3,0.1,30,0.4688,1.1719
xstest,170,0,170,0,0,1.0,0,0,0,0.0,377.0,2.22,30,0.4688,1.1719
jailbreakbench,70,0,69,1,0,0.9857,0.0,0,0,0.0143,2284.7,32.64,30,0.4688,1.1719
wildjailbreak,170,0,161,9,0,0.9471,0.0,0,0,0.0529,853.4,5.02,30,0.4688,1.1719
