dataset,total,tp,tn,fp,fn,acc,precision,recall,f1,fpr,time_s,s_per_sample,seed_size,memory_atk_mb,memory_total_mb
autodan,820,819,0,0,1,0.9988,1.0,0.9988,0.9994,0,10.3,0.01,30,0.4688,1.1719
zulu,820,0,0,0,820,0.0,0,0.0,0,0,5.6,0.01,30,0.4688,1.1719
base64,820,0,0,0,820,0.0,0,0.0,0,0,5.6,0.01,30,0.4688,1.1719
drattack,820,0,0,0,820,0.0,0,0.0,0,0,5.6,0.01,30,0.4688,1.1719
xstest,170,0,170,0,0,1.0,0,0,0,0.0,1.2,0.01,30,0.4688,1.1719
jailbreakbench,70,0,70,0,0,1.0,0,0,0,0.0,0.5,0.01,30,0.4688,1.1719
wildjailbreak,170,0,170,0,0,1.0,0,0,0,0.0,1.2,0.01,30,0.4688,1.1719
