dataset,total,tp,tn,fp,fn,acc,precision,recall,f1,fpr,time_s,s_per_sample,seed_size,memory_atk_mb,memory_total_mb
autodan,850,317,0,0,533,0.3729,1.0,0.3729,0.5433,0,10.5,0.01,30,0.2344,0.9375
zulu,850,0,0,0,850,0.0,0,0.0,0,0,5.8,0.01,30,0.2344,0.9375
base64,850,0,0,0,850,0.0,0,0.0,0,0,5.3,0.01,30,0.2344,0.9375
drattack,820,0,0,0,820,0.0,0,0.0,0,0,5.1,0.01,30,0.2344,0.9375
pair,588,567,0,0,21,0.9643,1.0,0.9643,0.9818,0,5.7,0.01,30,0.2344,0.9375
xstest,170,0,170,0,0,1.0,0,0,0,0.0,1.0,0.01,30,0.2344,0.9375
jailbreakbench,70,0,70,0,0,1.0,0,0,0,0.0,0.4,0.01,30,0.2344,0.9375
wildjailbreak,170,0,170,0,0,1.0,0,0,0,0.0,1.0,0.01,30,0.2344,0.9375
