dataset,total,tp,tn,fp,fn,acc,precision,recall,f1,fpr,time_s,s_per_sample,seed_size,memory_atk_mb,memory_total_mb
zulu,850,849,0,0,1,0.9988,1.0,0.9988,0.9994,0,150.4,0.18,30,0.4688,1.1719
base64,850,0,0,0,850,0.0,0,0.0,0,0,201.3,0.24,30,0.4688,1.1719
pair,588,586,0,0,2,0.9966,1.0,0.9966,0.9983,0,327.1,0.56,30,0.4688,1.1719
drattack,820,820,0,0,0,1.0,1.0,1.0,1.0,0,68.0,0.08,30,0.4688,1.1719
xstest,170,0,170,0,0,1.0,0,0,0,0.0,1.2,0.01,30,0.4688,1.1719
jailbreakbench,70,0,61,9,0,0.8714,0.0,0,0,0.1286,3158.6,45.12,30,0.4688,1.1719
wildjailbreak,170,0,170,0,0,1.0,0,0,0,0.0,210.2,1.24,30,0.4688,1.1719
