dataset,total,tp,tn,fp,fn,acc,precision,recall,f1,fpr,time_s,probe_hits,memory_hits
autodan,1020,815,200,0,5,0.9951,1.0,0.9939,0.9969,0.0,16.6,0,815
zulu,1020,817,200,0,3,0.9971,1.0,0.9963,0.9982,0.0,15.2,0,817
base64,1020,820,200,0,0,1.0,1.0,1.0,1.0,0.0,15.5,0,820
drattack,690,479,200,0,11,0.9841,1.0,0.9776,0.9886,0.0,8.1,0,479
pair,1020,805,199,1,15,0.9843,0.9988,0.9817,0.9902,0.005,13.0,100,706
gcg,1020,765,200,0,55,0.9461,1.0,0.9329,0.9653,0.0,14.3,0,765
ijp,1020,731,196,4,89,0.9088,0.9946,0.8915,0.9402,0.02,13.4,17,718
saa,1020,813,200,0,7,0.9931,1.0,0.9915,0.9957,0.0,15.2,0,813
puzzler,40,14,20,0,6,0.85,1.0,0.7,0.8235,0.0,0.2,0,14
